Review,Liked,CleanData,Summary,Arabic,Sentiment,root,price,service,food
Wow... Loved this place.,1,"['Wow', 'Loved', 'place']",Wow Loved place,واو مكان محبوب,positive,wow love place,,,
Crust is not good.,0,"['Crust', 'not', 'good']",Crust not good,القشرة ليست جيدة,negative,crust not good,,,
Not tasty and the texture was just nasty.,0,"['Not', 'tasty', 'texture', 'nasty']",Not tasty texture nasty,ليس الملمس لذيذًا مقرفًا,negative,not tasti textur nasti,,,tasti nasti 
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,"['Stopped', 'late', 'May', 'bank', 'holiday', 'Rick', 'Steve', 'recommendation', 'loved']",Stopped late May bank holiday Rick Steve recommendation loved,توقفت في أواخر مايو عطلة البنك أحب ريك ستيف التوصية,positive,stop late may bank holiday rick steve recommend love,,,recommend 
The selection on the menu was great and so were the prices.,1,"['The', 'selection', 'menu', 'great', 'prices']",The selection menu great prices,قائمة الاختيار أسعار رائعة,positive,the select menu great price,,great ,
Now I am getting angry and I want my damn pho.,0,"['Now', 'I', 'getting', 'angry', 'I', 'want', 'damn', 'pho']",Now  getting angry  want damn pho,الآن تغضب تريد pho لعنة,negative,now i get angri i want damn pho,,,
Honeslty it didn't taste THAT fresh.),0,"['Honeslty', 'didnt', 'taste', 'THAT', 'fresh']",Honeslty didnt taste  fresh,لم يكن طعم Honeslty طازج,positive,honeslti didnt tast that fresh,,,fresh 
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,"['The', 'potatoes', 'like', 'rubber', 'could', 'tell', 'made', 'ahead', 'time', 'kept', 'warmer']",The potatoes like rubber could tell made ahead time kept warmer,يمكن أن تدل البطاطس مثل المطاط أن الوقت الذي تم صنعه مسبقًا كان أكثر دفئًا,neutral,the potato like rubber could tell made ahead time kept warmer,,time ,
The fries were great too.,1,"['The', 'fries', 'great']",The fries great,البطاطا المقلية كبيرة,positive,the fri great,,great ,
A great touch.,1,"['A', 'great', 'touch']",great touch,لمسة رائعة,positive,a great touch,,great ,
Service was very prompt.,1,"['Service', 'prompt']",Service prompt,,positive,servic prompt,,prompt ,
Would not go back.,0,"['Would', 'not', 'go', 'back']",Would not go back,,neutral,would not go back,,,
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,"['The', 'cashier', 'no', 'care', 'ever', 'I', 'say', 'still', 'ended', 'wayyy', 'overpriced']",The cashier no care ever  say still ended wayyy overpriced,,neutral,the cashier no care ever i say still end wayyy overpr,,,
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,"['I', 'tried', 'Cape', 'Cod', 'ravoli', 'chicken', 'cranberrymmmm']",tried Cape Cod ravoli chicken cranberrymmmm,,negative,i tri cape cod ravoli chicken cranberrymmmm,,,
I was disgusted because I was pretty sure that was human hair.,0,"['I', 'disgusted', 'I', 'pretty', 'sure', 'human', 'hair']",disgusted  pretty sure human hair,,negative,i disgust i pretti sure human hair,,,disgust 
I was shocked because no signs indicate cash only.,0,"['I', 'shocked', 'no', 'signs', 'indicate', 'cash']",shocked no signs indicate cash,,negative,i shock no sign indic cash,,,
Highly recommended.,1,"['Highly', 'recommended']",Highly recommended,,positive,highli recommend,,,recommend 
Waitress was a little slow in service.,0,"['Waitress', 'little', 'slow', 'service']",Waitress little slow service,,negative,waitress littl slow servic,,slow ,
"This place is not worth your time, let alone Vegas.",0,"['This', 'place', 'not', 'worth', 'time', 'let', 'alone', 'Vegas']",This place not worth time let alone Vegas,,negative,thi place not worth time let alon vega,,time ,
did not like at all.,0,"['not', 'like']",not like,,neutral,not like,,,
The Burrittos Blah!,0,"['The', 'Burrittos', 'Blah']",The Burrittos Blah,,neutral,the burritto blah,,,
"The food, amazing.",1,"['The', 'food', 'amazing']",The food amazing,,positive,the food amaz,,,amaz 
Service is also cute.,1,"['Service', 'also', 'cute']",Service also cute,,positive,servic also cute,,,
I could care less... The interior is just beautiful.,1,"['I', 'could', 'care', 'less', 'The', 'interior', 'beautiful']",could care less The interior beautiful,,positive,i could care less the interior beauti,,,beauti 
So they performed.,1,"['So', 'performed']",So performed,,neutral,so perform,,,
